party,state,name,letra,type,fem,n,year
PAN,Jalisco,Ignacio Téllez González (aún no redactado),o,smd,,100,2009
PAN,Quinta,Julio Castellanos Ramírez (aún no redactado),o,pr,,101,2009
PAN,Tercera,Julio Saldaña Morán (aún no redactado),o,pr,,102,2009
PAN,Segunda,Justino Arriaga Rojas,o,pr,,103,2009
PAN,Sonora,Leonardo Arturo Gillén Medina (aún no redactado),o,smd,,104,2009
PAN,Colima,Leoncio Morán Sánchez,o,smd,,105,2009
PAN,Cuarta,Mario Alberto Becerra Pocoroba,o,pr,,106,2009
PAN,Chiapas,Ovidio Cortázar Ramos (aún no redactado),o,smd,,107,2009
PAN,Cuarta,Pablo Rodríguez Regordosa (aún no redactado),o,pr,,108,2009
PAN,Quinta,Pedro Peralta Rivas,o,pr,,109,2009
PAN,Michoacán,Ricardo Sánchez Gálvez (aún no redactado),o,smd,,110,2009
PAN,Tercera,Roberto Gil Zuarth,o,pr,,111,2009
PAN,San Luis Potosí,Sergio Gama Dufour (aún no redactado),o,smd,,112,2009
PAN,Cuarta,Sergio González Hernández (aún no redactado),o,pr,,113,2009
PAN,México,Sergio Octavio Germán Olivares (aún no redactado),o,smd,,114,2009
PAN,Baja California,Sergio Tolento Hernández (aún no redactado),o,smd,,115,2009
PAN,Guanajuato,Sixto Alfonso Zetina Soto (aún no redactado),o,smd,,116,2009
PAN,Segunda,Baltazar Martínez Montemayor (aún no redactado),r,pr,,117,2009
PAN,Distrito Federal,César González Madruga,r,smd,,118,2009
PAN,Baja California,César Mancillas Amador,r,smd,,119,2009
PAN,Distrito Federal,César Nava Vázquez,r,smd,,120,2009
PAN,Jalisco,César Octavio Madrigal Díaz (aún no redactado),r,smd,,121,2009
PAN,San Luis Potosí,César Octavio Pedroza Gaitá (aún no redactado),r,smd,,122,2009
PAN,Primera,Javier Corral Jurado,r,pr,,123,2009
PAN,Segunda,Javier Usabiaga Arroyo,r,pr,,124,2009
PAN,Baja California,Óscar Martín Arce Paniagua,r,smd,,125,2009
PAN,Tercera,Óscar Saúl Castillo Andrade (aún no redactado),r,pr,,126,2009
PAN,Cuarta,Valdemar Gutiérrez Fragoso (aún no redactado),r,pr,,127,2009
PAN,Nuevo León,Víctor Alejandro Balderas Vaquera (aún no redactado),r,smd,,128,2009
PAN,Quinta,Carlos Alberto Pérez Cuevas (aún no redactado),s,pr,,129,2009
PAN,México,Carlos Bello Otero (aún no redactado),s,smd,,130,2009
PAN,Jalisco,Carlos Luis Meillon Johnston (aún no redactado),s,smd,,131,2009
PAN,Chiapas,Carlos Martínez Martínez (aún no redactado),s,smd,,132,2009
PAN,Baja California,Jesús Gerardo Cortez Mendoza,s,smd,,133,2009
PAN,Cuarta,Jesús Giles Sánchez,s,pr,,134,2009
PAN,Segunda,Jesús Ramírez Rangel (aún no redactado),s,pr,,135,2009
PAN,Segunda,Luis Enrique Mercado Sánchez,s,pr,,136,2009
PAN,Primera,Marcos Pérez Esquer,s,pr,,137,2009
PAN,Guanajuato,Tomás Gutiérrez Ramírez (aún no redactado),s,smd,,138,2009
PAN,Guanajuato,Aránzazu Quintana Padilla (aún no redactado),u,smd,,139,2009
PAN,Tercera,Liev Vladimir Ramos Cárdenas (aún no redactado),v,pr,,140,2009
PAN,Tercera,Nelly del Carmen Márquez Zapata (aún no redactado),y,pr,1,141,2009
PAN,San Luis Potosí,Wendy Guadalupe Rodríguez Galarza (aún no redactado),y,smd,1,142,2009
PAN,Quinta,Yulenny Cortés León,y,pr,1,143,2009
PAN,Cuarta,Paz Gutiérrez Cortina (aún no redactado),z,pr,1,144,2009
PAN,Distrito Federal,Paz Quiñones Cornejo,z,smd,1,145,2009
,,,,,,,2009
PRD,Cuarta,Ana Luz Lobato Ramírez (aún no redactado),a,pr,1,1,2009
PRD,Tercera,Bélgica Nabil Carmona Cabrera (aún no redactado),a,pr,1,2,2009
PRD,Segunda,Claudia Anaya Mota,a,pr,1,3,2009
PRD,Michoacán,Dina Herrera Soto,a,smd,1,4,2009
PRD,Guerrero,Elia Blanco Sánchez (aún no redactado),a,smd,1,5,2009
PRD,Distrito Federal,Esthela Damián Peralta,a,smd,1,6,2009
PRD,Cuarta,Florentina Rosario Morales (aún no redactado),a,pr,1,7,2009
PRD,Quinta,Indira Vizcaíno Silva,a,pr,1,8,2009
PRD,Tercera,Juanita Arcelia Cruz Cruz (aún no redactado),a,pr,1,9,2009
PRD,Distrito Federal,Laura Piña Olmedo (aún no redactado),a,smd,1,10,2009
PRD,Cuarta,Leticia Quezada Contreras (aún no redactado),a,pr,1,11,2009
PRD,Distrito Federal,Leticia Robles Colín,a,smd,1,12,2009
PRD,Distrito Federal,María Areceli Vázquez Camacho (aún no redactado),a,smd,1,13,2009
PRD,Quinta,Martha Angélica Bernardino Rojas (aún no redactado),a,pr,1,14,2009
PRD,Nayarit,Martha Elena García,a,smd,1,15,2009
PRD,Tercera,Obdulia Magdalena Torres Abarca (aún no redactado),a,pr,1,16,2009
PRD,Tercera,Olga Luz Espinosa Morales (aún no redactado),a,pr,1,17,2009
PRD,Baja California Sur,Silvia Puppo Gastelum (aún no redactado),a,smd,1,18,2009
PRD,Cuarta,Teresa del Carmen Incháustegui Romero (aún no redactado),a,pr,1,19,2009
PRD,Distrito Federal,Balfre Vargas Cortez,e,smd,,20,2009
PRD,Quinta,Guadalupe Acosta Naranjo,e,pr,1,21,2009
PRD,Cuarta,Enoé Uranga Muñoz (aún no redactado),é,pr,,22,2009
PRD,Quinta,José Luis Jaime Correa (aún no redactado),é,pr,,23,2009
PRD,Michoacán,José María Valencia Barajas (aún no redactado),é,smd,,24,2009
PRD,Tercera,José Narro Céspedes,é,pr,,25,2009
PRD,Michoacán,José Torres Robledo (aún no redactado),é,smd,,26,2009
PRD,Cuarta,Ilich Augusto Lozano Herrera (aún no redactado),h,pr,,27,2009
PRD,Quinta,Lizbeth García Coronado (aún no redactado),h,pr,1,28,2009
PRD,Chiapas,Ariel Gómez León,l,smd,,29,2009
PRD,Michoacán,Israel Madrigal Ceja (aún no redactado),l,smd,,30,2009
PRD,Quinta,Pavel Díaz Juárez (aún no redactado),l,pr,1,31,2009
PRD,Zacatecas,Samuel Herrera Chávez,l,smd,,32,2009
PRD,Michoacán,Uriel López Paredes (aún no redactado),l,smd,,33,2009
PRD,Distrito Federal,Vidal Llerenas Morales,l,smd,,34,2009
PRD,Tabasco,Adán Augusto López Hernández,n,smd,,35,2009
PRD,Distrito Federal,Agustín Guerrero Castillo,n,smd,,36,2009
PRD,Cuarta,Filemón Navarro Aguilar (aún no redactado),n,pr,,37,2009
PRD,Chiapas,Juan Carlos López Fernández,n,smd,,38,2009
PRD,Michoacán,Martín García Avilés (aún no redactado),n,smd,,39,2009
PRD,Zacatecas,Ramón Jiménez Fuentes (aún no redactado),n,smd,,40,2009
PRD,Distrito Federal,Ramón Jiménez López,n,smd,,41,2009
PRD,Cuarta,Alejandro Encinas Rodríguez,o,pr,,42,2009
PRD,Distrito Federal,Arturo Santana Alfaro (aún no redactado),o,smd,,43,2009
PRD,Distrito Federal,Avelino Méndez Rangel,o,smd,,44,2009
PRD,Segunda,Domingo Rodríguez Martell (aún no redactado),o,pr,,45,2009
PRD,Distrito Federal,Eduardo Mendoza Arellano (aún no redactado),o,smd,,46,2009
PRD,Michoacán,Emiliano Velázquez Esquivel (aún no redactado),o,smd,,47,2009
PRD,Distrito Federal,Emilio Serrano Jiménez,o,smd,,48,2009
PRD,Tercera,Federico Ovalle Vaquera (aún no redactado),o,pr,,49,2009
PRD,Quinta,Feliciano Rosendo Marín Díaz (aún no redactado),o,pr,,50,2009
PRD,Primera,Francisco Armando Meza Castro,o,pr,,51,2009
PRD,Cuarta,Francisco Hernández Juárez,o,pr,,52,2009
PRD,Zacatecas,Gerardo Leyva Hernández (aún no redactado),o,smd,,53,2009
PRD,Zacatecas,Heladio Verver y Vargas Ramírez (aún no redactado),o,smd,,54,2009
PRD,Quinta,Juventino Castro y Castro,o,pr,,55,2009
PRD,Distrito Federal,Mauricio Toledo Gutiérrez,o,smd,,56,2009
PRD,Distrito Federal,Nazario Norberto Sánchez,o,smd,,57,2009
PRD,Distrito Federal,Rigoberto Salgado Vázquez,o,smd,,58,2009
PRD,Tercera,Rodolfo Lara Lagunas (aún no redactado),o,pr,,59,2009
PRD,Chiapas,Sergio Ernesto Gutiérrez Villanueva,o,smd,,60,2009
PRD,Guerrero,Sofío Ramírez Hernández,o,smd,,61,2009
PRD,Tabasco,César Francisco Burelo Burelo (aún no redactado),r,smd,,62,2009
PRD,Primera,Héctor Barraza Chávez (aún no redactado),r,pr,,63,2009
PRD,Distrito Federal,Héctor Hugo Hernández Rodríguez,r,smd,,64,2009
PRD,Cuarta,Víctor Hugo Círigo Vázquez,r,pr,,65,2009
PRD,Michoacán,Víctor Manuel Báez Ceja,r,smd,,66,2009
PRD,Baja California Sur,Víctor Manuel Castro Cosío,r,smd,,67,2009
PRD,Quinta,Dolores Nazares Jerónimo (aún no redactado),s,pr,1,68,2009
PRD,Distrito Federal,Luis Felipe Eguia Pérez (aún no redactado),s,smd,,69,2009
PRD,Chiapas,Luis Hernández Cruz (diputado) (aún no redactado),s,smd,,70,2009
PRD,Primera,Marcos Carlos Cruz Martínez,s,pr,,71,2009
PRD,Segunda,Mary Telma Guajardo Villarreal (aún no redactado),y,pr,1,72,2009
,,,,,,,2009
PRI,Chihuahua,Adriana Terrazas Porras,a,smd,1,1,2009
PRI,Guerrero,Alicia Elizabeth Zamora Villalva (aún no redactado),a,smd,1,2,2009
PRI,Jalisco,Ana Estela Durán Rico (aún no redactado),a,smd,1,3,2009
PRI,Puebla,Blanca Estela Jiménez Hernández (aún no redactado),a,smd,1,4,2009
PRI,México,Blanca Juana Soria Morales (aún no redactado),a,smd,1,5,2009
PRI,Veracruz,Carolina Gudiño Corro,a,smd,1,6,2009
PRI,Hidalgo,Carolina Viggiano Austria,a,smd,1,7,2009
PRI,Cuarta,Claudia Ruiz Massieu Salinas,a,pr,1,8,2009
PRI,Nuevo León,Cristina Díaz Salazar,a,smd,1,9,2009
PRI,Veracruz,Daniela Nadal Riquelme (aún no redactado),a,smd,1,10,2009
PRI,San Luis Potosí,Delia Guerrero Coronado (aún no redactado),a,smd,1,11,2009
PRI,Coahuila,Diana Patricia González Soto (aún no redactado),a,smd,1,12,2009
PRI,Sinaloa,Diva Hadamira Gastelum Bajo,a,smd,1,13,2009
PRI,México,Elvia Hernández García (aún no redactado),a,smd,1,14,2009
PRI,Primera,Esthela de Jesús Ponce Beltrán,a,pr,1,15,2009
PRI,Tercera,Georgina Trujillo Zentella,a,pr,1,16,2009
PRI,Chihuahua,Georgina Zapata Lucero,a,smd,1,17,2009
PRI,México,Guillermina Casique Vences (aún no redactado),a,smd,1,18,2009
PRI,Quinta,Hilda Ceballos Llerenas,a,pr,1,19,2009
PRI,Puebla,Julieta Marín Torres,a,smd,1,20,2009
PRI,Tamaulipas,Laura Felícitas García Dávila (aún no redactado),a,smd,1,21,2009
PRI,Nuevo León,Marcela Guerra Castillo,a,smd,1,22,2009
PRI,Segunda,Margarita Gallegos Soto (aún no redactado),a,pr,1,23,2009
PRI,Tercera,Margarita Liborio Arrazola,a,pr,1,24,2009
PRI,Nuevo León,María de Jesús Aguirre Maldonado,a,smd,1,25,2009
PRI,Puebla,María del Carmen Izaguirre Francos,a,smd,1,26,2009
PRI,Segunda,María del Refugio Calderón González (aún no redactado),a,pr,1,27,2009
PRI,Tabasco,María Estela de la Fuente Dagbug (aún no redactado),a,smd,1,28,2009
PRI,Yucatán,María Ester Alonzo Morales,a,smd,1,29,2009
PRI,Primera,María Esther Scherman,a,pr,1,30,2009
PRI,Tercera,María Esther Terán Velázquez (aún no redactado),a,pr,1,31,2009
PRI,Primera,María Hilaria Domínguez Arvizu,a,pr,1,32,2009
PRI,Puebla,María Isabel Merlo Talavera (aún no redactado),a,smd,1,33,2009
PRI,Quinta,Maricela Serrano Hernández (aún no redactado),a,pr,1,34,2009
PRI,Tercera,Narcedalia Ramírez Pineda (aún no redactado),a,pr,1,35,2009
PRI,Jalisco,Olivia Guillén Padilla (aún no redactado),a,smd,1,36,2009
PRI,Quinta,Paula Hernández Olmos,a,pr,1,37,2009
PRI,Morelos,Rosalina Mazari Espín (aún no redactado),a,smd,1,38,2009
PRI,México,Sandra Méndez Hernández,a,smd,1,39,2009
PRI,Oaxaca,Sofía Castro Ríos,a,smd,1,40,2009
PRI,Quintana Roo,Susana Hurtado Vallejo,a,smd,1,41,2009
PRI,Oaxaca,Violeta Aviles Álvarez (aún no redactado),a,smd,1,42,2009
PRI,Primera,Yolanda de la Torre Valdez,a,pr,1,43,2009
PRI,Cuarta,Cuauhtémoc Gutiérrez de la Torre,c,pr,,44,2009
PRI,Guerrero,Cuauhtémoc Salgado Romero,c,smd,,45,2009
PRI,Tercera,Eric Rubio Barthell,c,pr,,46,2009
PRI,Jalisco,David Hernández Pérez (aún no redactado),d,smd,,47,2009
PRI,Aguascalientes,David Hernández Vallín (aún no redactado),d,smd,,48,2009
PRI,Hidalgo,David Penchyna Grub,d,smd,,49,2009
PRI,México,David Ricardo Sánchez Guevara,d,smd,,50,2009
PRI,Segunda,Enrique Salomón Rosas,e,pr,,51,2009
PRI,Veracruz,Felipe Amadeo Flores Espinosa,e,smd,,52,2009
PRI,México,Felipe Borja Texocotitla (aún no redactado),e,smd,,53,2009
PRI,Nuevo León,Felipe Enríquez Hernández (aún no redactado),e,smd,,54,2009
PRI,Segunda,Felipe Solís Acero (aún no redactado),e,pr,,55,2009
PRI,Chihuahua,Guadalupe Pérez Domínguez,e,smd,1,56,2009
PRI,Chihuahua,Jaime Flores Castañeda (aún no redactado),e,smd,,57,2009
PRI,Puebla,Jorge Alberto Juraidini Rumilla,e,smd,,58,2009
PRI,Jalisco,Jorge Arana Arana,e,smd,,59,2009
PRI,Tercera,Jorge Carlos Ramírez Marín,e,pr,,60,2009
PRI,Tercera,Jorge Franco Vargas (aún no redactado),e,pr,,61,2009
PRI,Oaxaca,Jorge González Ilescas (aún no redactado),e,smd,,62,2009
PRI,México,Jorge Hernández Hernández (aún no redactado),e,smd,,63,2009
PRI,Jalisco,Jorge Humberto López Portillo Basave (aún no redactado),e,smd,,64,2009
PRI,Hidalgo,Jorge Rojo García de Alba (aún no redactado),e,smd,,65,2009
PRI,Hidalgo,Jorge Romero Romero,e,smd,,66,2009
PRI,Puebla,José Alberto González Morales (aún no redactado),é,smd,,67,2009
PRI,México,José Alfredo Torres Huitrón,é,smd,,68,2009
PRI,Tabasco,José Antonio Aysa Bernat (aún no redactado),é,smd,,69,2009
PRI,Oaxaca,José Antonio Yglesias Arreola,é,smd,,70,2009
PRI,Tabasco,José del Pilar Córdova Hernández (aún no redactado),é,smd,,71,2009
PRI,Tamaulipas,José Francisco Rábago Castillo,é,smd,,72,2009
PRI,Veracruz,José Francisco Yunes Zorrilla,é,smd,,73,2009
PRI,Morelos,José Luis Aispuro Funes (aún no redactado),é,smd,,74,2009
PRI,Sonora,José Luis Marcos Léon Perea (aún no redactado),é,smd,,75,2009
PRI,México,José Luis Soto Oseguera,é,smd,,76,2009
PRI,México,José Luis Velasco Lino (aún no redactado),é,smd,,77,2009
PRI,Morelos,José Manuel Agüero Tovar (aún no redactado),é,smd,,78,2009
PRI,Quinta,José Ramón Martel (aún no redactado),é,pr,,79,2009
PRI,Veracruz,José Tomás Carrillo Sánchez (aún no redactado),é,smd,,80,2009
PRI,Jalisco,José Trinidad Padilla López,é,smd,,81,2009
PRI,México,Josué Cirino Valdés Huezo (aún no redactado),é,smd,,82,2009
PRI,Segunda,Noé Fernando Garza Flores (aún no redactado),é,pr,,83,2009
PRI,México,Noé Martín Vázquez Pérez (aún no redactado),é,smd,,84,2009
PRI,Chiapas,Sami David David,i,smd,,85,2009
PRI,Quinta,Canek Vázquez Góngora,k,pr,,86,2009
PRI,Guerrero,Ángel Aguirre Herrera (aún no redactado),l,smd,,87,2009
PRI,Tamaulipas,Cristabell Zamora Cabrera (aún no redactado),l,smd,1,88,2009
PRI,Yucatán,Daniel Granja Peniche (aún no redactado),l,smd,,89,2009
PRI,Veracruz,Fidel Kuri Grajales,l,smd,,90,2009
PRI,Veracruz,Isabel Pérez Santos (aún no redactado),l,smd,1,91,2009
PRI,México,Israel Reyes Ledesma Magaña (aún no redactado),l,smd,,92,2009
PRI,Jalisco,Joel González Díaz (aún no redactado),l,smd,,93,2009
PRI,México,Manuel Cadena Morales,l,smd,,94,2009
PRI,Oaxaca,Manuel de Esesarte Pequeira (aún no redactado),l,smd,,95,2009
PRI,Oaxaca,Manuel García Corpus,l,smd,,96,2009
PRI,Tamaulipas,Manuel Hinojosa Ochoa (aún no redactado),l,smd,,97,2009
PRI,Nayarit,Manuel Humberto Cota Jiménez (aún no redactado),l,smd,,98,2009
PRI,Sonora,Manuel Ignacio Acosta Gutiérrez,l,smd,,99,2009
PRI,Cuarta,Miguel Álvarez Santamaría (aún no redactado),l,pr,,100,2009
PRI,Sinaloa,Miguel Ángel García Granados (aún no redactado),l,smd,,101,2009
PRI,México,Miguel Ángel Luna Munguía (aún no redactado),l,smd,,102,2009
PRI,Coahuila,Miguel Ángel Riquelme Solís,l,smd,,103,2009
PRI,México,Miguel Ángel Terrón Mendoza (aún no redactado),l,smd,,104,2009
PRI,Sonora,Miguel Ernesto Pompa Corella (aún no redactado),l,smd,,105,2009
PRI,Veracruz,Rafael Rodríguez González (aún no redactado),l,smd,,106,2009
PRI,Primera,Rafael Yerena Zambrano (aún no redactado),l,pr,,107,2009
PRI,México,Raúl Domínguez Rex,l,smd,,108,2009
