party,state,name,letra,type,fem,n,year
 PT,Cuarta,Ifigenia Martínez,a,pr,1,1,2009
 PT,Cuarta,Laura Itzel Castillo,a,pr,1,2,2009
 PT,Quinta,Teresa Guadalupe Reyes Sahagún (aún no redactado),a,pr,1,3,2009
 PT,Primera,Enrique Ibarra Pedroza,e,pr,,4,2009
 PT,Distrito Federal,Jaime Cárdenas Gracia,e,smd,,5,2009
 PT,Cuarta,Herón Escobar García,n,pr,,6,2009
 PT,Tercera,Francisco Espinosa Ramos,o,pr,,7,2009
 PT,Distrito Federal,Gerardo Fernández Noroña,o,smd,,8,2009
 PT,Distrito Federal,Mario Di Costanzo,o,smd,,9,2009
 PT,Segunda,Pedro Vázquez González,o,pr,,10,2009
 PT,Cuarta,Porfirio Muñoz Ledo,o,pr,,11,2009
 PT,Primera,Primitivo Ríos Vázquez,o,pr,,12,2009
 PT,Quinta,Óscar González Yáñez,r,pr,,13,2009
,,,,,,,2009
Movimiento ciudadan,Cuarta,Laura Arizmendi Campos (aún no redactado),a,pr,1,1,2009
Movimiento ciudadan,Quinta,Ma. Teresa Rosaura Ochoa Mejía (aún no redactado),a,pr,1,2,2009
Movimiento ciudadan,Segunda,María Guadalupe García Almanza (aún no redactado),a,pr,1,3,2009
Movimiento ciudadan,Cuarta,Jaime Álvarez Cisneros,e,pr,,4,2009
Movimiento ciudadan,Quinta,Alejandro Gertz Manero,o,pr,,5,2009
Movimiento ciudadan,Tercera,Pedro Jiménez León,o,pr,,6,2009
,,,,,,,2009
Nueva alianza,Primera,Cora Cecilia Pinedo Alonso,a,pr,1,1,2009
Nueva alianza,Segunda,Elsa María Martínez Peña (aún no redactado),a,pr,1,2,2009
Nueva alianza,Tercera,María del Pilar Torres Canales (aún no redactado),a,pr,1,3,2009
Nueva alianza,Quinta,Jaime Arturo Vázquez Aguilar,e,pr,,4,2009
Nueva alianza,Cuarta,Jorge Kahwagi,e,pr,,5,2009
Nueva alianza,Cuarta,Gerardo del Mazo Morales (aún no redactado),o,pr,,6,2009
Nueva alianza,Primera,Roberto Pérez de Alva,o,pr,,7,2009
Nueva alianza,Segunda,Reyes Tamez Guerra,s,pr,,8,2009
,,,,,,,2009
PAN,Quinta,Adriana de Lourdes Hinojosa Céspedes (aún no redactado),a,pr,1,1,2009
PAN,Querétaro,Adriana Fuentes Cortés (aún no redactado),a,smd,1,2,2009
PAN,Veracruz,Alba Leonila Médenez Herrera (aún no redactado),a,smd,1,3,2009
PAN,Segunda,Alejandra Reynoso Sánchez,a,pr,1,4,2009
PAN,Primera,Ana Elia Paredes Arciga (aún no redactado),a,pr,1,5,2009
PAN,Cuarta,Augusta Valentina Díaz de Rivera,a,pr,1,6,2009
PAN,Guanajuato,Cecilia Arévalo Sosa (aún no redactado),a,smd,1,7,2009
PAN,Jalisco,Clara Gómez Caro (aún no redactado),a,smd,1,8,2009
PAN,Primera,Dora Eveleyn Triguera Duron (aún no redactado),a,pr,1,9,2009
PAN,Tercera,Eva Sylvia Guerrero García (aún no redactado),a,pr,1,10,2009
PAN,Distrito Federal,Gabriela Cuevas Barrón,a,smd,1,11,2009
PAN,Quinta,Gloria Romero León,a,pr,1,12,2009
PAN,Tercera,Gloria Trinida Luna Ruiz (aún no redactado),a,pr,1,13,2009
PAN,Michoacán,Iridia Salazar Blanco,a,smd,1,14,2009
PAN,Nayarit,Ivideliza Reyes Hernández,a,smd,1,15,2009
PAN,Cuarta,Josefina Vázquez Mota,a,pr,1,16,2009
PAN,Cuarta,Kenia López Rabadán,a,pr,1,17,2009
PAN,Primera,Laura Elena Estrada Rodríguez (aún no redactado),a,pr,1,18,2009
PAN,Michoacán,Laura Suárez González (aún no redactado),a,smd,1,19,2009
PAN,Guanajuato,Laura Viviana Agúndiz Pérez (aún no redactado),a,smd,1,20,2009
PAN,Guanajuato,Lucila del Carmen Gallegos Camarena (aún no redactado),a,smd,1,21,2009
PAN,Segunda,Ma. de Lourdes Reynoso Femat (aún no redactado),a,pr,1,22,2009
PAN,Quinta,Ma. Elena Pérez de Tejada Romero (aún no redactado),a,pr,1,23,2009
PAN,Segunda,Marcela Torres Peimbert,a,pr,1,24,2009
PAN,Chihuahua,María Antonieta Pérez Reyes,a,smd,1,25,2009
PAN,Primera,María Dolores del Río,a,pr,1,26,2009
PAN,Primera,María Felícitas Parra Becerra (aún no redactado),a,pr,1,27,2009
PAN,Segunda,María Sandra Ugalde Basaldúa (aún no redactado),a,pr,1,28,2009
PAN,Tercera,María Yolanda Valencia Vales (aún no redactado),a,pr,1,29,2009
PAN,Quinta,Marisela Tinoco Moreno (aún no redactado),a,pr,1,30,2009
PAN,Chiapas,Mirna Lucrecia Camacho Pedrero (aún no redactado),a,smd,1,31,2009
PAN,Segunda,Norma Leticia Salazar Vázquez,a,pr,1,32,2009
PAN,Segunda,Norma Sánchez Romero (aún no redactado),a,pr,1,33,2009
PAN,Tlaxcala,Oralia López Hernández (aún no redactado),a,smd,1,34,2009
PAN,Tlaxcala,Perla López Loyo (aún no redactado),a,smd,1,35,2009
PAN,Tercera,Rosa Adriana Díaz Lizama,a,pr,1,36,2009
PAN,Cuarta,Silvia Esther Pérez Ceballos (aún no redactado),a,pr,1,37,2009
PAN,Tercera,Silvia Isabel Monge Villalobos (aún no redactado),a,pr,1,38,2009
PAN,San Luis Potosí,Sonia Mendoza Díaz,a,smd,1,39,2009
PAN,Segunda,Tomasa Vives Preciado (aún no redactado),a,pr,1,40,2009
PAN,Primera,Velia Aguilar Armendáriz,a,pr,1,41,2009
PAN,Tercera,Yolanda Montalvo López (aún no redactado),a,pr,1,42,2009
PAN,Segunda,Enrique Octavio Trejo Azuara (aún no redactado),e,pr,,43,2009
PAN,Primera,Enrique Torres Delgado (aún no redactado),e,pr,,44,2009
PAN,Segunda,Felipe de Jesús Cantú Rodríguez,e,pr,,45,2009
PAN,Jalisco,Felipe de Jesús Rangel Vargas (aún no redactado),e,smd,,46,2009
PAN,Tercera,Guadalupe Valenzuela Cabrales (aún no redactado),e,pr,1,47,2009
PAN,Guanajuato,Guadalupe Vera Hernández (aún no redactado),e,smd,1,48,2009
PAN,Guanajuato,Jaime Oliva Ramírez (aún no redactado),e,smd,,49,2009
PAN,Veracruz,José Encarnación Uribe Pozos (aún no redactado),é,smd,,50,2009
PAN,Segunda,José Gerardo de los Cobos Silva (aún no redactado),é,pr,,51,2009
PAN,Tercera,José Ignacio Seara Sierra (aún no redactado),é,pr,,52,2009
PAN,Jalisco,José Luis Íñiguez Gámez (aún no redactado),é,smd,,53,2009
PAN,Baja California,José Luis Ovando Patrón,é,smd,,54,2009
PAN,Quinta,José Manuel Hinojosa Pérez (aún no redactado),é,pr,,55,2009
PAN,Chiapas,José Manuel Marroquín Toledo (aún no redactado),é,smd,,56,2009
PAN,Guanajuato,Ruth Esperanza Lugo Martínez (aún no redactado),h,smd,1,57,2009
PAN,Guanajuato,Erandi Bermúdez Méndez,i,smd,1,58,2009
PAN,Distrito Federal,Rosi Orozco (aún no redactado),i,smd,1,59,2009
PAN,Tercera,Daniel Ávila Ruiz,l,pr,,60,2009
PAN,Distrito Federal,Ezequiel Retiz Gutiérrez (aún no redactado),l,smd,,61,2009
PAN,Primera,Manuel Clouthier Carrillo,l,pr,,62,2009
PAN,Baja California,Miguel Antonio Osuna Millán,l,smd,,63,2009
PAN,Veracruz,Miguel Martín López (aún no redactado),l,smd,,64,2009
PAN,Querétaro,Miguel Martínez Peñaloza,l,smd,,65,2009
PAN,Aguascalientes,Raúl Cuadra García,l,smd,,66,2009
PAN,Cuarta,Agustín Castilla Marroquín (aún no redactado),n,pr,,67,2009
PAN,Quinta,Agustín Torres Ibarrola,n,pr,,68,2009
PAN,Baja California,Gastón Luken Garza,n,smd,,69,2009
PAN,Primera,Joann Novoa Mossberger (aún no redactado),n,pr,1,70,2009
PAN,Jalisco,Juan José Cuevas García (aún no redactado),n,smd,,71,2009
PAN,San Luis Potosí,Juan Pablo Escobar Martínez,n,smd,,72,2009
PAN,Tlaxcala,Julián Velázquez Llorente (aún no redactado),n,smd,,73,2009
PAN,Guanajuato,Martín Rico Jiménez (aún no redactado),n,smd,,74,2009
PAN,Guanajuato,Ramón Merino Loo (aún no redactado),n,smd,,75,2009
PAN,Guanajuato,Rubén Arellano Rodríguez (aún no redactado),n,smd,1,76,2009
PAN,Primera,Adolfo Rojo Montoya (aún no redactado),o,pr,,77,2009
PAN,Jalisco,Alberto Esquer Gutiérrez,o,smd,,78,2009
PAN,Primera,Alejandro Bahena Flores (aún no redactado),o,pr,,79,2009
PAN,Nuevo León,Alfredo Javier Rodríguez Dávila (aún no redactado),o,smd,,80,2009
PAN,Aguascalientes,Antonio Arámbula López,o,smd,,81,2009
PAN,Primera,Arturo García Portillo (aún no redactado),o,pr,,82,2009
PAN,Segunda,Arturo Ramírez Bucio (aún no redactado),o,pr,,83,2009
PAN,Michoacán,Arturo Torres Santos,o,smd,,84,2009
PAN,Quinta,Benigno Quezada Naranjo,o,pr,,85,2009
PAN,Tercera,Bernardo Téllez Juárez (aún no redactado),o,pr,,86,2009
PAN,Primera,Bonifacio Herrera Rivera (aún no redactado),o,pr,,87,2009
PAN,Nuevo León,Camilo Ramírez Puente (aún no redactado),o,smd,,88,2009
PAN,Primera,Eduardo Robles Medina (aún no redactado),o,pr,,89,2009
PAN,Veracruz,Fernando Santa María Prieto (aún no redactado),o,smd,,90,2009
PAN,Quinta,Francisco Javier Landero Gutiérrez (aún no redactado),o,pr,,91,2009
PAN,Baja California,Francisco Javier Orduño Valdez,o,smd,,92,2009
PAN,Jalisco,Francisco Javier Ramírez Acuña,o,smd,,93,2009
PAN,Segunda,Francisco Javier Salazar Sáenz,o,pr,,94,2009
PAN,Primera,Francisco Vega de Lamadrid,o,pr,,95,2009
PAN,Nuevo León,Gregorio Hurtado Leija (aún no redactado),o,smd,,96,2009
PAN,Tercera,Guillermo Zavaleta Rojas,o,pr,,97,2009
PAN,Jalisco,Gumercindo Castellanos Flores (aún no redactado),o,smd,,98,2009
PAN,Primera,Gustavo González Hernández,o,pr,,99,2009
