party,state,name,letra,type,fem,n,year
 Ind,,María del Rocío Zazueta Osuna (aún no redactado),a,smd,1,1,2015
,,,,,,,2015
MC,Segunda,Claudia Corichi García,a,pr,1,1,2015
MC,Tercera,Dalia María Rocha Ladrón de Guevara (aún no redactado),a,pr,1,2,2015
MC,Primera,Ma. Victoria Mercado Sánchez (aún no redactado),a,pr,1,3,2015
MC,Cuarta,Marbella Toledo Ibarra (aún no redactado),a,pr,1,4,2015
MC,,María Candelaria Ochoa Ávalos,a,smd,1,5,2015
MC,,Mirza Flores Gómez (aún no redactado),a,smd,1,6,2015
MC,,Rosa Alba Ramírez Nachis (aún no redactado),a,smd,1,7,2015
MC,,Verónica Bermúdez Torres (aún no redactado),a,smd,1,8,2015
MC,Quinta,Angie Denisse Hauffen Torres (aún no redactado),e,pr,1,9,2015
MC,Primera,Clemente Castañeda Hoeflich,e,pr,,10,2015
MC,Primera,Jorge Álvarez Máynez,e,pr,,11,2015
MC,,José Nuño Guzmán (aún no redactado),é,smd,,12,2015
MC,Cuarta,René Cervera García,é,pr,,13,2015
MC,Cuarta,Adán Pérez Utrera (aún no redactado),n,pr,,14,2015
MC,,Germán Ernesto Ralis Cumplido (aún no redactado),n,smd,,15,2015
MC,Segunda,Gustavo Cárdenas Gutiérrez,o,pr,,16,2015
MC,,Macedonio Salomón Támez Guajardo (aún no redactado),o,smd,,17,2015
MC,Primera,Refugio Trinidad Garzón Canchola (aún no redactado),o,pr,1,18,2015
MC,,Salvador Zamora Zamora,r,smd,,19,2015
MC,,Víctor Manuel Sánchez Orozco (aún no redactado),r,smd,,20,2015
MC,,Luis Ernesto Munguía González,s,smd,,21,2015
MC,Primera,Moisés Guerra Mota (aún no redactado),s,pr,,22,2015
,,,,,,,2015
Morena,,Alicia Barrientos Pantoja (aún no redactado),a,smd,1,1,2015
Morena,Quinta,Alma América Rivera Tavizón (aún no redactado),a,pr,1,2,2015
Morena,,Ana Leticia Carrera Hernández (aún no redactado),a,smd,1,3,2015
Morena,,Ariadna Montiel Reyes,a,smd,1,4,2015
Morena,Cuarta,Blanca Margarita Cuata Domínguez (aún no redactado),a,pr,1,5,2015
Morena,Cuarta,Blandina Ramos Ramírez (aún no redactado),a,pr,1,6,2015
Morena,,Ernestina Godoy Ramos,a,smd,1,7,2015
Morena,Cuarta,Irma Rebeca López López (aún no redactado),a,pr,1,8,2015
Morena,,Justina del Carmen Luna Pérez (aún no redactado),a,smd,1,9,2015
Morena,Tercera,Karina Barón Ortiz (aún no redactado),a,pr,1,10,2015
Morena,,Magdalena Moreno Vega (aún no redactado),a,smd,1,11,2015
Morena,Primera,María Antonia Cárdenas Mariscal,a,pr,1,12,2015
Morena,,María Chávez García (aún no redactado),a,smd,1,13,2015
Morena,Tercera,Modesta Fuentes Alonso (aún no redactado),a,pr,1,14,2015
Morena,,Norma Xochitl Hernández Colin (aún no redactado),a,smd,1,15,2015
Morena,,Paola Félix Díaz,a,smd,1,16,2015
Morena,,Patricia Elena Aceves Pastrana,a,smd,1,17,2015
Morena,Tercera,Guadalupe Hernández Correa (aún no redactado),e,pr,1,18,2015
Morena,Tercera,Jorge Tello López (aún no redactado),e,pr,,19,2015
Morena,,Araceli Damián González,i,smd,1,20,2015
Morena,Cuarta,Ángel Antonio Hernández de la Peña (aún no redactado),l,pr,,21,2015
Morena,Cuarta,Miguel Alva y Alva (aún no redactado),l,pr,,22,2015
Morena,,Otniel García Navarro (aún no redactado),l,smd,,23,2015
Morena,,Vidal Llerenas Morales,l,smd,,24,2015
Morena,Quinta,Concepción Villa González (aún no redactado),n,pr,1,25,2015
Morena,,Juan Romero Tenorio (aún no redactado),n,smd,,26,2015
Morena,,Alberto Martínez Urincho (aún no redactado),o,smd,,27,2015
Morena,Segunda,Alfredo Basurto Román (aún no redactado),o,pr,,28,2015
Morena,Tercera,Guillermo Rafael Santiago Rodríguez,o,pr,,29,2015
Morena,Segunda,Mariano Trejo Flores (aún no redactado),o,pr,,30,2015
Morena,Tercera,Mario David Mex Albornoz (aún no redactado),o,pr,,31,2015
Morena,,Renato Jobafat Molina Arias (aún no redactado),o,smd,,32,2015
Morena,,Ricardo López Priego (aún no redactado),o,smd,,33,2015
Morena,Primera,Roberto Alejandro Cañedo Jiménez (aún no redactado),o,pr,,34,2015
Morena,Cuarta,Roberto Guzmán Jacobo (aún no redactado),o,pr,,35,2015
Morena,Cuarta,Rodrigo Abdalá Dartigues (aún no redactado),o,pr,,36,2015
Morena,,Sergio René Cancino Barffuson (aún no redactado),o,smd,,37,2015
Morena,,Virgilio Caballero Pedraza,o,smd,,38,2015
Morena,,Héctor Javier García Chávez (aún no redactado),r,smd,,39,2015
Morena,,Carlos Hernández Mirón (aún no redactado),s,smd,,40,2015
Morena,Primera,Carlos Lomelí Bolaños,s,pr,,41,2015
Morena,,Jesús Emiliano Álvarez López (aún no redactado),s,smd,,42,2015
Morena,Quinta,Jesús Serrano Lora (aún no redactado),s,pr,,43,2015
Morena,Cuarta,Jesús Valencia Guzmán (aún no redactado),s,pr,,44,2015
,Cuarta,,,pr,,,2015
,,,,,,,2015
Nueva alianza,Quinta,Angélica Reyes Ávila (aún no redactado),a,pr,1,1,2015
Nueva alianza,Tercera,Karina Sánchez Ruiz (aún no redactado),a,pr,1,2,2015
Nueva alianza,Cuarta,María Eugenia Ocampo Bedolla (aún no redactado),a,pr,1,3,2015
Nueva alianza,Primera,María Luisa Gutiérrez Santoyo (aún no redactado),a,pr,1,4,2015
Nueva alianza,Segunda,Soralla Bañuelos de la Torre (aún no redactado),a,pr,1,5,2015
Nueva alianza,Cuarta,José Bernardo Quezada Salas (aún no redactado),é,pr,,6,2015
Nueva alianza,,Ángel García Yáñez,l,smd,,7,2015
Nueva alianza,Tercera,Manuel Alexander Zetina Aguiluz (aún no redactado),l,pr,,8,2015
Nueva alianza,Quinta,Francisco Javier Pinto Torres (aún no redactado),o,pr,,9,2015
Nueva alianza,Segunda,Jesús Rafael Méndez Salas (aún no redactado),s,pr,,10,2015
Nueva alianza,Primera,Luis Alfredo Valles Mendoza (aún no redactado),s,pr,,11,2015
,,,,,,,2015
PAN,,Adriana Elizarraraz Sandoval (aún no redactado),a,smd,1,1,2015
PAN,,Alba María Milán Silva (aún no redactado),a,smd,1,2,2015
PAN,,Alejandra Gutiérrez Campos,a,smd,1,3,2015
PAN,Segunda,Alejandra Iturbe Rosas (aún no redactado),a,pr,1,4,2015
PAN,,Alejandra Reynoso Sánchez,a,smd,1,5,2015
PAN,Segunda,Brenda Velázquez Valdez (aún no redactado),a,pr,1,6,2015
PAN,Cuarta,Cecilia Romero Castillo,a,pr,1,7,2015
PAN,Quinta,Claudia Sánchez Juárez (aún no redactado),a,pr,1,8,2015
PAN,Primera,Cristina Jiménez Márquez (aún no redactado),a,pr,1,9,2015
PAN,,Eloísa Chavarrías Barajas (aún no redactado),a,smd,1,10,2015
PAN,Segunda,Elva Lidia Valles Olvera (aún no redactado),a,pr,1,11,2015
PAN,Cuarta,Emma Margarita Alemán Olvera (aún no redactado),a,pr,1,12,2015
PAN,,Gabriela Ramírez Ramos (aún no redactado),a,smd,1,13,2015
PAN,,Genoveva Huerta Villegas (aún no redactado),a,smd,1,14,2015
PAN,,Jisela Paes Martínez (aún no redactado),a,smd,1,15,2015
PAN,,Karina Padilla Ávila (aún no redactado),a,smd,1,16,2015
PAN,Segunda,Karla Karina Osuna Carranco (aún no redactado),a,pr,1,17,2015
PAN,Tercera,Kathia María Bolio Pinelo (aún no redactado),a,pr,1,18,2015
PAN,,Leticia Amparano Gámez (aún no redactado),a,smd,1,19,2015
PAN,,Lilia Arminda García Escobar (aún no redactado),a,smd,1,20,2015
PAN,Segunda,Lorena del Carmen Alfaro García (aún no redactado),a,pr,1,21,2015
PAN,,María de los Ángeles Rodríguez Aguirre (aún no redactado),a,smd,1,22,2015
PAN,Primera,María Eloísa Talavera Hernández,a,pr,1,23,2015
PAN,,María Luisa Sánchez Meza (aún no redactado),a,smd,1,24,2015
PAN,Segunda,María Olimpia Zapata Padilla (aún no redactado),a,pr,1,25,2015
PAN,Primera,María Olivia Picazo Olmos (aún no redactado),a,pr,1,26,2015
PAN,,María Verónica Agundis Estrada (aún no redactado),a,smd,1,27,2015
PAN,Primera,Mariana Arámbula Meléndez (aún no redactado),a,pr,1,28,2015
PAN,Quinta,Minerva Hernández Ramos,a,pr,1,29,2015
PAN,Cuarta,Mónica Rodríguez Della Vecchia (aún no redactado),a,pr,1,30,2015
PAN,Primera,Nadia Haydeé Vega Olivas (aún no redactado),a,pr,1,31,2015
PAN,Segunda,Patricia García García (aún no redactado),a,pr,1,32,2015
PAN,Tercera,Patricia Sánchez Carrillo (aún no redactado),a,pr,1,33,2015
PAN,Primera,Teresa de Jesús Lizárraga Figueroa (aún no redactado),a,pr,1,34,2015
PAN,,Ximena Tamariz García (aún no redactado),a,smd,1,35,2015
PAN,Cuarta,Eukid Castañón Herrera,d,pr,,36,2015
PAN,,Ingrid Schemelensky Castro,d,smd,1,37,2015
PAN,,Arlete Ivette Muñoz Cervantes (aún no redactado),e,smd,,38,2015
PAN,Tercera,Enrique Cambranis Torres (aún no redactado),e,pr,,39,2015
PAN,Tercera,Enrique Pérez Rodríguez (aún no redactado),e,pr,,40,2015
PAN,Cuarta,Guadalupe González Suástegui (aún no redactado),e,pr,1,41,2015
PAN,,Jackie Nava (aún no redactado),e,smd,1,42,2015
