party,state,name,letra,type,fem,n,year
Morena,Quinta,María Chávez Pérez (aún no redactado),a,pr,1,48,2018
Morena,Segunda,María del Carmen Quiroz Rodríguez (aún no redactado),a,pr,1,49,2018
Morena,México,María Elizabeth Díaz García (aún no redactado),a,smd,1,50,2018
Morena,México,María Eugenia Hernández Pérez (aún no redactado),a,smd,1,51,2018
Morena,México,María Guadalupe Díaz Avilez (aún no redactado),a,smd,1,52,2018
Morena,Quinta,María Guadalupe Edith Castañeda Ortiz (aún no redactado),a,pr,1,53,2018
Morena,México,María Guadalupe Román Ávila (aún no redactado),a,smd,1,54,2018
Morena,Hidalgo,María Isabel Alfaro Morales (aún no redactado),a,smd,1,55,2018
Morena,Segunda,María Luisa Veloz Silva (aún no redactado),a,pr,1,56,2018
Morena,Ciudad de México,María Martha García Flores (aún no redactado),a,smd,1,57,2018
Morena,Primera,María Teresa López Pérez (aún no redactado),a,pr,1,58,2018
Morena,Baja California,Martha Lizeth Noriega Galaz (aún no redactado),a,smd,1,59,2018
Morena,Durango,Martha Olivia García Vidaña,a,smd,1,60,2018
Morena,Primera,Martha Patricia Ramírez Lucero,a,pr,1,61,2018
Morena,México,Martha Robles Ortiz (aún no redactado),a,smd,1,62,2018
Morena,Segunda,Martina Cazarez Yáñez (aún no redactado),a,pr,1,63,2018
Morena,Coahuila,Melba Farías Zambrano,a,smd,1,64,2018
Morena,Segunda,Miroslava Sánchez Galván (aún no redactado),a,pr,1,65,2018
Morena,Nayarit,Mirtha Iliana Villalvazo Amaya (aún no redactado),a,smd,1,66,2018
Morena,Sinaloa,Olegaria Carrazco Macias (aún no redactado),a,smd,1,67,2018
Morena,Veracruz,Paola Tenorio Adame (aún no redactado),a,smd,1,68,2018
Morena,Tercera,Patricia del Carmen de la Cruz Delucio (aún no redactado),a,pr,1,69,2018
Morena,Quintana Roo,Patricia Palma Olvera (aún no redactado),a,smd,1,70,2018
Morena,Tercera,Rosalba Valencia Cruz (aún no redactado),a,pr,1,71,2018
Morena,Oaxaca,Rosalinda Domínguez Flores (aún no redactado),a,smd,1,72,2018
Morena,Hidalgo,Sandra Olvera Bautista,a,smd,1,73,2018
Morena,Cuarta,Susana Beatriz Cuaxiola Serrano (aún no redactado),a,pr,1,74,2018
Morena,Quinta,Susana Cano González (aún no redactado),a,pr,1,75,2018
Morena,Tabasco,Teresa Burelo Cortázar (aún no redactado),a,smd,1,76,2018
Morena,Primera,Verónica Ramos Cruz (aún no redactado),a,pr,1,77,2018
Morena,Tercera,Virginia Merino García (aún no redactado),a,pr,1,78,2018
Morena,Sinaloa,Yadira Santiago Marcos,a,smd,1,79,2018
Morena,Michoacán,Yolanda Guerrero Barrera (aún no redactado),a,smd,1,80,2018
Morena,Tercera,Zaira Ochoa Valdivia (aún no redactado),a,pr,1,81,2018
Morena,Cuarta,David Bautista Rivera (aún no redactado),d,pr,,82,2018
Morena,México,David Orihuela Nava (aún no redactado),d,smd,,83,2018
Morena,Quintana Roo,Mildred Ávila Vera,d,smd,,84,2018
Morena,Quinta,Celeste Ascencio Ortega,e,pr,1,85,2018
Morena,Veracruz,Dulce María Corina Villegas Guarneros (aún no redactado),e,smd,1,86,2018
Morena,México,Felipe Rafael Arvizu de la Luz (aún no redactado),e,smd,,87,2018
Morena,Nayarit,Geraldine Ponce Méndez,e,smd,1,88,2018
Morena,Ciudad de México,Guadalupe Ramos Sotelo (aún no redactado),e,smd,1,89,2018
Morena,Veracruz,Jaime Humberto Pérez Bernabe (aún no redactado),e,smd,,90,2018
Morena,Tercera,Jorge Ángel Sibaja Mendoza (aún no redactado),e,pr,,91,2018
Morena,Querétaro,Jorge Luis Montes Nieves,e,smd,,92,2018
Morena,Tlaxcala,Jose de la Luz Sosa Salinas (aún no redactado),e,smd,,93,2018
Morena,Chiapas,Roque Luis Rabelo Velasco (aún no redactado),e,smd,,94,2018
Morena,México,Silvestre López Cornejo (aún no redactado),e,smd,,95,2018
Morena,México,Vicente Onofre Vázquez,e,smd,,96,2018
Morena,Morelos,José Guadalupe Ambrocio Gachuz (aún no redactado),é,smd,,97,2018
Morena,Veracruz,José Ignacio Vázquez Sánchez (aún no redactado),é,smd,,98,2018
Morena,Chiapas,José Luis Elorza Flores (aún no redactado),é,smd,,99,2018
Morena,Chihuahua,Maité Vargas Meraz,é,smd,1,100,2018
Morena,Tercera,Edith García Rosales,h,pr,1,101,2018
Morena,Quinta,Edith Marisol Mercado Torres (aún no redactado),h,pr,1,102,2018
Morena,Tercera,Lizeth Guerra Méndez,h,pr,1,103,2018
Morena,Segunda,Cuauhtli Badillo Moreno (aún no redactado),i,pr,,104,2018
Morena,Cuarta,Nayeli Arlen Fernández Cruz (aún no redactado),i,pr,1,105,2018
Morena,Baja California,Érik Morales,k,smd,,106,2018
Morena,Oaxaca,Azael Santiago Chepi,l,smd,,107,2018
Morena,Oaxaca,Carol Antonio Altamirano,l,smd,1,108,2018
Morena,Oaxaca,Daniel Gutiérrez Gutiérrez (aún no redactado),l,smd,,109,2018
Morena,Guanajuato,Emmanuel Reyes Carmona,l,smd,,110,2018
Morena,Tercera,Manuel García Corpus,l,pr,,111,2018
Morena,Tercera,Manuel Gómez Ventura (aún no redactado),l,pr,,112,2018
Morena,Primera,Manuel López Castillo (aún no redactado),l,pr,,113,2018
Morena,Tabasco,Manuel Rodríguez González,l,smd,,114,2018
Morena,Durango,Maribel Aguilera Cháirez,l,smd,1,115,2018
Morena,Quinta,Marivel Solís Barrera,l,pr,1,116,2018
Morena,Segunda,Miguel Ángel Chico Herrera,l,pr,,117,2018
Morena,Ciudad de México,Miguel Ángel Jáuregui Montes de Oca,l,smd,,118,2018
Morena,Primera,Miguel Ángel Márquez González (aún no redactado),l,pr,,119,2018
Morena,Chiapas,Miguel Prado de los Santos,l,smd,,120,2018
Morena,Veracruz,Rafael Hernández Villalpando,l,smd,,121,2018
Morena,Veracruz,Raquel Bonilla Herrera,l,smd,1,122,2018
Morena,Chiapas,Raúl Eduardo Bonifaz Moedano (aún no redactado),l,smd,,123,2018
Morena,Zacatecas,Samuel Herrera Chávez,l,smd,,124,2018
Morena,Primera,Miriam Citlally Pérez Mackintosh (aún no redactado),m,pr,1,125,2018
Morena,Quinta,Agustín García Rubio (aún no redactado),n,pr,,126,2018
Morena,Cuarta,Agustín Reynaldo Huerta González (aún no redactado),n,pr,,127,2018
Morena,Primera,Carmen Almeida Navarro,n,pr,1,128,2018
Morena,Oaxaca,Carmen Bautista Peláez (aún no redactado),n,smd,1,129,2018
Morena,Veracruz,Carmen Medel Palma,n,smd,1,130,2018
Morena,Veracruz,Carmen Mora García (aún no redactado),n,smd,1,131,2018
Morena,Primera,Efraín Rocha Vega,n,pr,,132,2018
Morena,Michoacán,Esteban Barajas Barajas (aún no redactado),n,smd,,133,2018
