party,state,name,letra,type,fem,n,year
PAN,Morelos,Enrique Iragorri Durán (aún no redactado),e,smd,,53,2006
PAN,San Luis Potosí,Enrique Rodríguez Uresti (aún no redactado),e,smd,,54,2006
PAN,Segunda,Felipe Borrego Estrada,e,pr,,55,2006
PAN,Michoacán,Felipe Díaz Garibay,e,smd,,56,2006
PAN,Chihuahua,Felipe González Ruiz (aún no redactado),e,smd,,57,2006
PAN,Guanajuato,Jaime Verdin Saldaña (aún no redactado),e,smd,,58,2006
PAN,Tercera,Jorge Justiniano González Betancourt (aún no redactado),e,pr,,59,2006
PAN,Tercera,Jorge Nordhausen González (aún no redactado),e,pr,,60,2006
PAN,Jalisco,Jorge Quintero Bello (aún no redactado),e,smd,,61,2006
PAN,Durango,Jorge Salum del Palacio,e,smd,,62,2006
PAN,Segunda,Jorge Zermeño Infante,e,pr,,63,2006
PAN,Cuarta,José Antonio Díaz García (aún no redactado),é,pr,,64,2006
PAN,Jalisco,José de Jesús Solano Muñoz (aún no redactado),é,smd,,65,2006
PAN,Jalisco,José Gildardo Guerrero Torres (aún no redactado),é,smd,,66,2006
PAN,San Luis Potosí,José Guadalupe Rivera Rivera (aún no redactado),é,smd,,67,2006
PAN,Puebla,José Guillermo Fuentes Ortiz (aún no redactado),é,smd,,68,2006
PAN,Puebla,José Guillermo Velázquez Gutiérrez (aún no redactado),é,smd,,69,2006
PAN,Querétaro,José Ignacio Rubio Chávez (aún no redactado),é,smd,,70,2006
PAN,Sonora,José Inés Palafox Núñez (aún no redactado),é,smd,,71,2006
PAN,Puebla,José Luis Contreras Coeto (aún no redactado),é,smd,,72,2006
PAN,Michoacán,José Luis Espinosa Piña,é,smd,,73,2006
PAN,Nuevo León,José Luis Murillo Torres (aún no redactado),é,smd,,74,2006
PAN,Jalisco,José Nicolás Morales Ramos (aún no redactado),é,smd,,75,2006
PAN,Morelos,José Víctor Sánchez Trujillo (aún no redactado),é,smd,,76,2006
PAN,Puebla,René Lezama Aradillas (aún no redactado),é,smd,,77,2006
PAN,Tercera,Lizbeth Evelia Medina Rodríguez (aún no redactado),h,pr,1,78,2006
PAN,Guanajuato,Rubí Laura López Silva (aún no redactado),í,smd,1,79,2006
PAN,Tercera,Abel Ignacio Cuevas Melo,l,pr,,80,2006
PAN,Coahuila,Ángel Humberto García Reyes (aún no redactado),l,smd,,81,2006
PAN,Hidalgo,Daniel Ludlow Kuri,l,smd,,82,2006
PAN,Jalisco,Joel Arellano Arellano (aún no redactado),l,smd,,83,2006
PAN,Jalisco,Miguel Ángel Monraz Ibarra (aún no redactado),l,smd,,84,2006
PAN,Veracruz,Osiel Castro de la Rosa (aún no redactado),l,smd,,85,2006
PAN,Primera,Raúl Alejandro Padilla Orozco,l,pr,,86,2006
PAN,Tamaulipas,Raúl García Vivían (aún no redactado),l,smd,,87,2006
PAN,Cuarta,Adrián Fernández Cabrera (aún no redactado),n,pr,,88,2006
PAN,Veracruz,Agustín Mollinedo Hernández (aún no redactado),n,smd,,89,2006
