party,state,name,letra,type,fem,n,year
 PT,Primera,Lilia Aguilar Gil,a,pr,1,1,2012
 PT,Cuarta,Loretta Ortiz Ahlf,a,pr,1,2,2012
 PT,Quinta,Ma. del Carmen Martínez Santillán (aún no redactado),a,pr,1,3,2012
 PT,Segunda,Magdalena del Socorro Núñez Monreal (aún no redactado),a,pr,1,4,2012
 PT,Oaxaca,Rosa Elia Romero Guzmán,a,smd,1,5,2012
 PT,Primera,Jaime Bonilla Valdez,e,pr,,6,2012
 PT,Distrito Federal,José Alberto Benavides Castañeda (aún no redactado),é,smd,,7,2012
 PT,Distrito Federal,José Arturo López Cándido,é,smd,,8,2012
 PT,Tlaxcala,José Humberto Vega Vázquez (aún no redactado),é,smd,,9,2012
 PT,Tercera,Araceli Torres Flores (aún no redactado),i,pr,1,10,2012
 PT,Cuarta,Adolfo Orive Bellinger,o,pr,,11,2012
 PT,Segunda,Alberto Anaya,o,pr,,12,2012
 PT,Quinta,Ricardo Cantú Garza,o,pr,,13,2012
 PT,Tercera,Héctor Hugo Roblero Gordillo (aún no redactado),r,pr,,14,2012
,,,,,,,2012
Movimiento Ciudadano,Oaxaca,Aída Fabiola Valencia Ramírez (aún no redactado),a,smd,1,1,2012
Movimiento Ciudadano,Cuarta,Luisa María Alcalde Luján,a,pr,1,2,2012
Movimiento Ciudadano,Primera,Martha Beatriz Cordova (aún no redactado),a,pr,1,3,2012
Movimiento Ciudadano,Cuarta,Zuleyma Huidobro González (aún no redactado),a,pr,1,4,2012
Movimiento Ciudadano,Distrito Federal,José Antonio Hurtado Gallegos (aún no redactado),é,smd,,5,2012
Movimiento Ciudadano,Morelos,José Francisco Coronato Rodríguez (aún no redactado),é,smd,,6,2012
Movimiento Ciudadano,Primera,José Luis Valle Magaña (aún no redactado),é,pr,,7,2012
Movimiento Ciudadano,Oaxaca,José Soto Martínez (aún no redactado),é,smd,,8,2012
Movimiento Ciudadano,Quinta,Juan Ignacio Samperio Montaño (aún no redactado),n,pr,,9,2012
Movimiento Ciudadano,Primera,Merylin Gómez Pozos (aún no redactado),n,pr,,10,2012
Movimiento Ciudadano,Primera,Alfonso Durazo Montaño,o,pr,,11,2012
Movimiento Ciudadano,Cuarta,Ricardo Mejía Berdeja,o,pr,,12,2012
Movimiento Ciudadano,Cuarta,Ricardo Monreal Ávila,o,pr,,13,2012
Movimiento Ciudadano,Guerrero,Víctor Manuel Jorrin Lozano (aún no redactado),r,smd,,14,2012
Movimiento Ciudadano,Tercera,Nelly del Carmen Vargas Pérez (aún no redactado),y,pr,1,15,2012
,,,,,,,2012
PAN,Quinta,Adriana González Carrillo,a,pr,1,1,2012
PAN,Sonora,Alejandra López Noriega,a,smd,1,2,2012
PAN,Tercera,Alicia Ricalde Magaña,a,pr,1,3,2012
PAN,Segunda,Ana Paola López Birlain,a,pr,1,4,2012
PAN,Cuarta,Aurora de la Luz Aguilar Rodríguez (aún no redactado),a,pr,1,5,2012
PAN,Puebla,Blanca Jiménez Castillo (aún no redactado),a,smd,1,6,2012
PAN,Tercera,Cinthya Noemi Valladares Couoh (aún no redactado),a,pr,1,7,2012
PAN,Tercera,Eufrosina Cruz Mendoza,a,pr,1,8,2012
PAN,Quinta,Karina Labastida Sotelo (aún no redactado),a,pr,1,9,2012
PAN,Veracruz,Leticia López Landero (aún no redactado),a,smd,1,10,2012
PAN,Quinta,Ma. Guadalupe Mondragón González (aún no redactado),a,pr,1,11,2012
PAN,Tamaulipas,Marcelina Orta Coronado (aún no redactado),a,smd,1,12,2012
PAN,Primera,Margarita Licea González (aún no redactado),a,pr,1,13,2012
PAN,Cuarta,Margarita Saldaña Hernández,a,pr,1,14,2012
PAN,Primera,María Celia Urciel Castañeda (aún no redactado),a,pr,1,15,2012
PAN,Segunda,María Concepción Ramírez Diez Gutiérrez (aún no redactado),a,pr,1,16,2012
PAN,Segunda,María Eugenia De León Pérez,a,pr,1,17,2012
PAN,Puebla,María Isabel Ortiz Mantilla (aún no redactado),a,smd,1,18,2012
PAN,Aguascalientes,María Teresa Jiménez Esquivel,a,smd,1,19,2012
PAN,Tercera,Mariana Dunyaska García Rojas,a,pr,1,20,2012
PAN,Quinta,Martha Berenice Álvarez Tovar (aún no redactado),a,pr,1,21,2012
PAN,Quinta,Martha Sosa Govea,a,pr,1,22,2012
