party,state,name,letra,type,fem,n,year
MC,Segunda,Amalia García,a,pr,1,1,2021
MC,Primera,Elvia Yolanda Martínez Cosío (aún no redactado),a,pr,1,2,2021
MC,Cuarta,Jessica Ortega De la Cruz (aún no redactado),a,pr,1,3,2021
MC,Primera,Julieta Mejía Ibáñez (aún no redactado),a,pr,1,4,2021
MC,Jalisco,María Ascensión Álvarez Solís (aún no redactado),a,smd,1,5,2021
MC,Primera,María Elena Limón García,a,pr,1,6,2021
MC,Jalisco,María Leticia Chávez Pérez (aún no redactado),a,smd,1,7,2021
MC,Quinta,María Teresa Ochoa Mejía (aún no redactado),a,pr,1,8,2021
MC,Primera,Mirza Flores Gómez (aún no redactado),a,pr,1,9,2021
MC,Tercera,Ivonne Ortega Pacheco,e,pr,1,10,2021
MC,Primera,Jorge Álvarez Máynez,e,pr,,11,2021
MC,Jalisco,Taygete Irisay Rodríguez González (aún no redactado),e,smd,,12,2021
MC,Jalisco,Manuel Herrera Vega,l,smd,,13,2021
MC,Segunda,Agustín Basave Alanís (aún no redactado),n,pr,,14,2021
MC,Cuarta,Salomón Chertorivski Woldenberg,n,pr,,15,2021
MC,Segunda,Arturo Bonifacio de la Garza Garza (aún no redactado),o,pr,,16,2021
MC,Tercera,Gerardo Gaudiano Rovirosa,o,pr,,17,2021
MC,Jalisco,Horacio Fernández Castillo (aún no redactado),o,smd,,18,2021
MC,Primera,Mario Alberto Rodríguez Carrillo (aún no redactado),o,pr,,19,2021
MC,Jalisco,Mauro Garza Marín (aún no redactado),o,smd,,20,2021
MC,Ciudad de México,Rocío Banquells,o,smd,1,21,2021
MC,Quinta,Rodrigo Samperio Chaparro (aún no redactado),o,pr,,22,2021
MC,Jalisco,Sergio Barrera Sepúlveda (aún no redactado),o,smd,,23,2021
MC,Primera,Salvador Caro Cabrera,r,pr,,24,2021
MC,Nuevo León,Andrés Pintos Caballero (aún no redactado),s,smd,,25,2021
,,,,,,,2021
Morena,Chiapas,Adela Ramos Juárez (aún no redactado),a,smd,1,1,2021
Morena,Chiapas,Adriana Bustamante Castellanos (aún no redactado),a,smd,1,2,2021
Morena,Tamaulipas,Adriana Lozano Rodríguez (aún no redactado),a,smd,1,3,2021
Morena,Ciudad de México,Aleida Alavez Ruiz,a,smd,1,4,2021
Morena,Morelos,Alejandra Pani Barragán (aún no redactado),a,smd,1,5,2021
Morena,México,Alma Delia Navarrete Rivera (aún no redactado),a,smd,1,6,2021
Morena,Quinta,Alma Griselda Valencia Medina (aún no redactado),a,pr,1,7,2021
Morena,Sinaloa,Ana Elizabeth Ayala Leyva (aún no redactado),a,smd,1,8,2021
Morena,Primera,Andrea Chávez Treviño,a,pr,1,9,2021
Morena,Tercera,Angélica Ivonne Cisnero Luján (aún no redactado),a,pr,1,10,2021
Morena,Segunda,Blanca Araceli Narro Panameño (aún no redactado),a,pr,1,11,2021
