"Source: Inter-Parliamentary Union Open Data","","","","","","","","",""
"Date: 2023-08-09","","","","","","","","",""
"Ranking as of 1st January 2021","","","","","","","","",""
"","","","","","","","","",""
"Rank","Country","Lower or single House","","","","Upper chamber","","",""
"","","Elections","Seats*","Women","% W","Elections","Seats*","Women","% W"
"1","Rwanda","09.2018","80","49","61.3","09.2019","26","10","38.5"
"2","Cuba","03.2018","586","313","53.4","-","-","-","-"
"3","United Arab Emirates","10.2019","40","20","50","-","-","-","-"
"4","Nicaragua","11.2016","91","44","48.4","-","-","-","-"
"5","New Zealand","10.2020","120","58","48.3","-","-","-","-"
"6","Mexico","07.2018","500","241","48.2","07.2018","128","63","49.2"
"7","Sweden","09.2018","349","164","47","-","-","-","-"
"8","Grenada","03.2018","15","7","46.7","04.2018","13","2","15.4"
"9","Andorra","04.2019","28","13","46.4","-","-","-","-"
"10","Bolivia (Plurinational State of)","10.2020","130","60","46.2","10.2020","36","20","55.6"
"11","Finland","04.2019","200","92","46","-","-","-","-"
"12","South Africa","05.2019","397","182","45.8","05.2019","53","22","41.5"
"13","Costa Rica","02.2018","57","26","45.6","-","-","-","-"
"14","Norway","09.2017","169","75","44.4","-","-","-","-"
"15","Namibia","11.2019","104","46","44.2","12.2020","42","6","14.3"
"16","Spain","11.2019","350","154","44","11.2019","265","108","40.8"
"17","Senegal","07.2017","165","71","43","-","-","-","-"
"18","Argentina","10.2019","257","109","42.4","10.2019","72","29","40.3"
"“","Mozambique","10.2019","250","106","42.4","-","-","-","-"
"20","Belgium","05.2019","150","63","42","07.2019","60","27","45"
"“","Switzerland","10.2019","200","84","42","10.2019","46","12","26.1"
"22","Belarus","11.2019","110","44","40","11.2019","60","15","25"
"“","Portugal","10.2019","230","92","40","-","-","-","-"
"24","Austria","09.2019","183","73","39.9","-","61","26","42.6"
"25","Denmark","06.2019","179","71","39.7","-","-","-","-"
"“","Iceland","10.2017","63","25","39.7","-","-","-","-"
"27","France","06.2017","577","228","39.5","09.2020","348","121","34.8"
"28","Ecuador","02.2017","137","54","39.4","-","-","-","-"
"29","North Macedonia","07.2020","120","47","39.2","-","-","-","-"
"“","Serbia","06.2020","250","98","39.2","-","-","-","-"
"31","Ethiopia","05.2015","547","212","38.8","10.2015","153","49","32"
"32","Timor-Leste","05.2018","65","25","38.5","-","-","-","-"
"33","Burundi","05.2020","123","47","38.2","07.2020","39","16","41"
"34","United Republic of Tanzania","10.2020","384","141","36.7","-","-","-","-"
"35","Guyana","03.2020","70","25","35.7","-","-","-","-"
"“","Italy","03.2018","630","225","35.7","03.2018","320","110","34.4"
"37","Uganda","02.2016","459","160","34.9","-","-","-","-"
"38","Dominica","12.2019","32","11","34.4","-","-","-","-"
"39","Cameroon","02.2020","180","61","33.9","03.2018","100","26","26"
"“","United Kingdom","12.2019","650","220","33.9","-","792","221","27.9"
"41","El Salvador","03.2018","84","28","33.3","-","-","-","-"
"“","Monaco","02.2018","24","8","33.3","-","-","-","-"
"“","Netherlands","03.2017","150","50","33.3","05.2019","75","29","38.7"
"“","San Marino","12.2019","60","20","33.3","-","-","-","-"
"45","Nepal","11.2017","275","90","32.7","01.2020","58","22","37.9"
"“","Uzbekistan","12.2019","147","48","32.7","01.2020","100","23","23"
"47","Zimbabwe","07.2018","270","86","31.9","07.2018","80","35","43.8"
"48","Luxembourg","10.2018","60","19","31.7","-","-","-","-"
"49","Germany","09.2017","709","223","31.5","-","69","25","36.2"
"50","Australia","05.2019","151","47","31.1","05.2019","76","39","51.3"
"“","Croatia","07.2020","151","47","31.1","-","-","-","-"
"52","Angola","08.2017","220","65","29.6","-","-","-","-"
"“","Canada","10.2019","338","100","29.6","-","93","46","49.5"
"54","Albania","06.2017","122","36","29.5","-","-","-","-"
"“","Singapore","07.2020","95","28","29.5","-","-","-","-"
"56","Suriname","05.2020","51","15","29.4","-","-","-","-"
"57","Latvia","10.2018","100","29","29","-","-","-","-"
"58","Jamaica","09.2020","63","18","28.6","09.2020","21","8","38.1"
"59","South Sudan","08.2016","383","109","28.5","08.2011","50","6","12"
"60","Poland","10.2019","459","130","28.3","10.2019","100","24","24"
"61","Philippines","05.2019","304","85","28","05.2019","24","7","29.2"
"62","Dominican Republic","07.2020","190","53","27.9","07.2020","32","4","12.5"
"63","Estonia","03.2019","101","28","27.7","-","-","-","-"
"“","Lithuania","10.2020","141","39","27.7","-","-","-","-"
"65","Lao People's Democratic Republic","03.2016","149","41","27.5","-","-","-","-"
"66","Egypt","10.2020","591","162","27.4","08.2020","300","40","13.3"
"67","Mali","12.2020","121","33","27.3","-","-","-","-"
"“","United States of America","11.2020","433","118","27.3","11.2020","100","25","25"
"69","Bulgaria","03.2017","240","65","27.1","-","-","-","-"
"“","Kazakhstan","03.2016","107","29","27.1","08.2020","48","9","18.8"
"71","Afghanistan","10.2018","248","67","27","01.2015","68","19","27.9"
"72","Israel","03.2020","120","32","26.7","-","-","-","-"
"“","Slovenia","06.2018","90","24","26.7","11.2017","40","4","10"
"“","Viet Nam","05.2016","494","132","26.7","-","-","-","-"
"75","Cabo Verde","03.2016","72","19","26.4","-","-","-","-"
"“","Iraq","05.2018","329","87","26.4","-","-","-","-"
"77","Tunisia","10.2019","217","57","26.3","-","-","-","-"
