"Source: Inter-Parliamentary Union Open Data","","","","","","","","",""
"Date: 2023-08-03","","","","","","","","",""
"Ranking as of 1st January 2020","","","","","","","","",""
"","","","","","","","","",""
"Rank","Country","Lower or single House","","","","Upper chamber","","",""
"","","Elections","Seats*","Women","% W","Elections","Seats*","Women","% W"
"1","Rwanda","09.2018","80","49","61.3","09.2019","26","10","38.5"
"2","Cuba","03.2018","605","322","53.2","-","-","-","-"
"3","Bolivia (Plurinational State of)","10.2019","130","69","53.1","10.2019","36","17","47.2"
"4","United Arab Emirates","10.2019","40","20","50","-","-","-","-"
"5","Mexico","07.2018","500","241","48.2","07.2018","128","63","49.2"
"6","Nicaragua","11.2016","91","43","47.3","-","-","-","-"
"7","Sweden","09.2018","349","164","47","-","-","-","-"
"8","Grenada","03.2018","15","7","46.7","04.2018","13","4","30.8"
"9","Andorra","04.2019","28","13","46.4","-","-","-","-"
"“","South Africa","05.2019","397","184","46.4","05.2019","54","21","38.9"
"11","Finland","04.2019","200","92","46","-","-","-","-"
"12","Costa Rica","02.2018","57","26","45.6","-","-","-","-"
"13","Spain","11.2019","350","154","44","11.2019","264","103","39"
"14","Senegal","07.2017","165","71","43","-","-","-","-"
"15","Namibia","11.2019","96","41","42.7","12.2015","42","8","19.1"
"16","Switzerland","10.2019","200","83","41.5","10.2019","46","12","26.1"
"17","Norway","09.2017","169","70","41.4","-","-","-","-"
"18","Mozambique","10.2019","250","103","41.2","-","-","-","-"
"19","Argentina","10.2019","257","105","40.9","10.2019","72","29","40.3"
"20","New Zealand","09.2017","120","49","40.8","-","-","-","-"
"21","Belgium","05.2019","150","61","40.7","07.2019","60","27","45"
"22","Belarus","11.2019","110","44","40","11.2019","60","15","25"
"“","North Macedonia","12.2016","120","48","40","-","-","-","-"
"“","Portugal","10.2019","230","92","40","-","-","-","-"
"25","Denmark","06.2019","179","71","39.7","-","-","-","-"
"26","France","06.2017","577","228","39.5","09.2017","348","116","33.3"
"27","Ecuador","02.2017","137","54","39.4","-","-","-","-"
"28","Austria","09.2019","183","72","39.3","-","61","23","37.7"
"29","Ethiopia","05.2015","547","212","38.8","10.2015","153","49","32"
"30","Timor-Leste","05.2018","65","25","38.5","-","-","-","-"
"31","Dominica","12.2019","21","8","38.1","-","-","-","-"
"“","Iceland","10.2017","63","24","38.1","-","-","-","-"
"33","Serbia","04.2016","247","93","37.7","-","-","-","-"
"34","United Republic of Tanzania","10.2015","393","145","36.9","-","-","-","-"
"35","Burundi","06.2015","121","44","36.4","07.2015","39","18","46.2"
"36","Italy","03.2018","630","225","35.7","03.2018","320","110","34.4"
"37","Uganda","02.2016","459","160","34.9","-","-","-","-"
"38","Guyana","05.2015","69","24","34.8","-","-","-","-"
"39","United Kingdom","12.2019","650","220","33.9","-","795","216","27.2"
"40","El Salvador","03.2018","84","28","33.3","-","-","-","-"
"“","Monaco","02.2018","24","8","33.3","-","-","-","-"
"“","Netherlands","03.2017","150","50","33.3","05.2019","75","29","38.7"
"43","Nepal","11.2017","275","90","32.7","02.2018","59","22","37.3"
"44","Uzbekistan","12.2019","150","48","32","01.2015","100","17","17"
"45","Zimbabwe","07.2018","270","86","31.9","07.2018","80","35","43.8"
"46","San Marino","12.2019","60","19","31.7","-","-","-","-"
"47","Suriname","05.2015","51","16","31.4","-","-","-","-"
"48","Germany","09.2017","709","221","31.2","-","69","25","36.2"
